EVERYTHING,,,,Pre-1900,1920s,1930s,1940s,1950s,1970s,1980s,1990s,2000s,2010,2011,2012,2013,2014,2015,2016,QUICK NAVIGATION & LEGEND,,,,"TIMELINE
PLACEMENT
LINKS",REALITY DESIGNATION
,Daredevil,,,,3.03,No Good Deed,,,,0:25:14,,0:47:25,,Nadeem walking down a hospital hallway up to the end of the episode,,,,,,,,,,,
,Daredevil,,,,3.04,Blindsided,,,,0:00:14,,0:04:01,,"Up to Matt signalling a taxi and the driver asking ""Where we off to boss?""",,,,,,,,,,,
,Iron Fist,,,,2.08,Citadel on the Edge of Vengeance,,,,0:10:29,,0:12:01,,"Walker waking up on her couch up to Walker hearing her Mary personality say ""Sokovia""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: There is a brief flashback to Mary's rescue in Sokovia between this clip and the next.,,,,,,,,,,,
,Iron Fist,,,,2.08,Citadel on the Edge of Vengeance,,,,0:12:08,,0:12:12,,"Mary, in her recording, saying ""You got us out of that hole, so thank you for that. In Sokovia.""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: There is a brief flashback to Mary's rescue in Sokovia between this clip and the next.,,,,,,,,,,,
,Iron Fist,,,,2.08,Citadel on the Edge of Vengeance,,,,0:13:16,,0:13:25,,"Walker replaying Mary's message, ""You got us out of that hole ..."" up to Walker dropping the phone on the table and sitting up straight",,,,,,,,,,,
,Daredevil,,,,3.04,Blindsided,,,,0:04:02,,0:08:28,,"Foggy pacing up to Matt saying his name is ""Nelson. Franklin Nelson""",,,,,,,,,,,
,Iron Fist,,,,2.08,Citadel on the Edge of Vengeance,,,,0:13:26,,0:16:02,,Joy walking through a dimly lit hallway of Eden Towers up to BB walking back inside and Joy looking at Colleen's poster,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Sam Chung's dialogue comes in early at 0:16:01.,,,,,,,,,,,
,Daredevil,,,,3.04,Blindsided,,,,0:09:36,,0:14:58,,"Ryker's inmates working outside, Matt waiting in the visiting room up to Seema Nadeem leaving",,,,,,,,,,,
,Iron Fist,,,,2.08,Citadel on the Edge of Vengeance,,,,0:16:03,,0:17:31,,"Sam Chung saying ""Ah, she's been here since you dropped her off last night."" up to one of Sherry Yang's men opening the door for Danny and Colleen to leave",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Sam Chung's dialogue begins at 0:16:01.,,,,,,,,,,,
,Daredevil,,,,3.04,Blindsided,,,,0:14:59,,0:19:49,,A guard leading Matt through a security door up to Karen leaving Matt's apartment,,,,,,,,,,,
,Iron Fist,,,,2.08,Citadel on the Edge of Vengeance,,,,0:17:32,,0:21:20,,Ryhno's Gang training up to Davos leaving Joy,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Walker's dialogue comes in early at 0:21:18.,,,,,,,,,,,
,Daredevil,,,,3.04,Blindsided,,,,0:19:50,,0:33:17,,"An analogue clock showing ""11:01"" up to Matt getting in a taxi and repeatedly saying ""drive.""",,,,,,,,,,,
,Iron Fist,,,,2.08,Citadel on the Edge of Vengeance,,,,0:21:21,,0:32:23,,"Walker in a session with Dr. Edmonds up to Ward saying ""Then we bury a bullet in his brain."" and Walker turning to look at him",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Walker's dialogue begins at 0:21:18.,,,,,,,,,,,
,Daredevil,,,,3.04,Blindsided,,,,0:33:21,,0:36:36,,A meal being delivered to Fisk's door up to Nadeem leaving Dex and Dex exhaling,,,,,,,,,,,
,Iron Fist,,,,2.08,Citadel on the Edge of Vengeance,,,,0:32:24,,0:36:48,,"Davos telling Ryhno's Gang to ""gather your things. We're leaving."" up to Ryhno's Gang following Davos out of the alley",,,,,,,,,,,
,Daredevil,,,,3.04,Blindsided,,,,0:36:37,,0:52:16,,Foggy opening double doors up to the end of the episode,,,,,,,,,,,
,Iron Fist,,,,2.08,Citadel on the Edge of Vengeance,,,,0:36:49,,0:47:11,,Colleen bringing Danny to the Underground Fight Club ring up to the end of the episode,,,,,,,,,,,
,Iron Fist,,,,2.09,War Without End,,,,0:00:14,,0:09:04,,Up to Davos pushing Joy off the Eden Towers mezzanine,,,,,,,,,,,
,Daredevil,,,,3.05,The Perfect Game,,,,0:45:21,,0:46:22,,Flashback: Matt returning to his apartment up to Matt collapsing on the floor,,,,,,,,,,,
,Iron Fist,,,,2.09,War Without End,,,,0:10:20,,0:19:42,,Danny looking at a tablet and practicing martial arts movements up to Walker burning her file and Ward and Walker getting in his SUV,,,,,,,,,,,
,Daredevil,,,,3.05,The Perfect Game,,,,0:00:16,,0:01:08,,Dex sitting at his kitchen table up to Dex adjusting his picture frame,,,,,,,,,,,
,Iron Fist,,,,2.09,War Without End,,,,0:19:43,,0:22:13,,Turk practicing his golf swing up to Turk closing the back doors of his van,,,,,,,,,,,
,Daredevil,,,,3.05,The Perfect Game,,,,0:01:09,,0:04:35,,A taxi being lifted out of the water up to Fisk incriminating Matt,,,,,,,,,,,
,Iron Fist,,,,2.09,War Without End,,,,0:22:14,,0:25:00,,Joy regaining consciousness up to Wu walking away from her,,,,,,,,,,,
,Daredevil,,,,3.05,The Perfect Game,,,,0:05:44,,0:06:32,,"Dex on a run, following Julie Barnes up to Dex continuing to follow Julie",,,,,,,,,,,
,Daredevil,,,,3.05,The Perfect Game,,,,0:46:27,,0:46:30,,"NOTE: The following clips intercut between Nadeem, and other FBI agents, approaching and entering Matt's apartment and Matt overhearing them.",,,,,,,,,,,
,,,,,,,,,,,,,,Flashback: Matt waking up and turning his head,,,,,,,,,,,
,Daredevil,,,,3.05,The Perfect Game,,,,0:06:33,,0:06:39,,"FBI agents ascending the stairs up to Nadeem saying ""Alpha team ...""",,,,,,,,,,,
,Daredevil,,,,3.05,The Perfect Game,,,,0:46:31,,0:46:38,,"Flashback: Matt hearing Nadeem saying ""... on approach."" up to Matt hearing Nadeem saying ""FBI. Get back ...""",,,,,,,,,,,
,Daredevil,,,,3.05,The Perfect Game,,,,0:06:44,,0:06:48,,"Nadeem saying ""... in your apartment and close the door."" up to Nadeem continuing to ascend the stairs",,,,,,,,,,,
,Daredevil,,,,3.05,The Perfect Game,,,,0:46:41,,0:46:44,,Flashback: Matt continuing to listen near the door and then leaving,,,,,,,,,,,
,Daredevil,,,,3.05,The Perfect Game,,,,0:06:49,,0:07:16,,"FBI arriving outside Matt's apartment up to Nadeem saying ""Murdoch's ...",,,,,,,,,,,
,Daredevil,,,,3.05,The Perfect Game,,,,0:46:56,,0:47:16,,"Flashback: Matt hearing Nadeem saying ""... been home. Recently. ..."" up to the end of the episode",,,,,,,,,,,
,Iron Fist,,,,2.09,War Without End,,,,0:25:01,,0:40:56,,Danny and Colleen arriving at the Bayard Community Center up to Misty leaving,,,,,,,,,,,
,Daredevil,,,,3.05,The Perfect Game,,,,0:07:21,,0:45:16,,"Karen sitting at the bar of a club, getting up and approaching Felix Manning up to Dex sitting on his floor and listening to a recorded session he had with Dr. Eileen Mercer",,,,,,,,,,,
,Daredevil,,,,3.06,The Devil You Know,,,,0:00:49,,0:02:19,,"Flashback: Foggy asking ""Karen, the gun. Where is it?"" up to Karen saying ""I shot him. Seven times. Because I wanted him dead.""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 1: Foggy's dialogue begins at 0:00:47.,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: The sound of Karen's window squeaking occurs at 0:02:19.,,,,,,,,,,,
,Iron Fist,,,,2.09,War Without End,,,,0:40:57,,0:48:05,,"Avalon saying to Colleen ""I thought you were full of shit when you came to the shop."" up to the end of the episode",,,,,,,,,,,
,Iron Fist,,,,2.10,A Duel of Iron,,,,0:02:12,,0:21:21,,"Colleen dropping to her knee up to Colleen saying ""And stay down."", standing up and dismissing her Iron Fist",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:03:01,,,,,,,,,,,
,Daredevil,,,,3.06,The Devil You Know,,,,0:00:14,,0:00:48,,Up to Karen looking at herself in the mirror,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Foggy's dialogue comes in early at 0:00:47.,,,,,,,,,,,
,Daredevil,,,,3.06,The Devil You Know,,,,0:02:20,,0:08:40,,Karen hearing her window open up to Dex turning off his alarm,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 1: The sound of Karen's window squeaking occurs at 0:02:19.,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: Title at 0:03:05,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE 3: ""Suite for Solo Cello No. 1 in G Major, BMV 1007: III. Courante"" by Johann Sebastian Bach and performed by Mischa Maisky comes in early at 0:08:38.",,,,,,,,,,,
,Iron Fist,,,,2.10,A Duel of Iron,,,,0:21:25,,0:27:58,,Davos being attended to by a paramedic up to Danny walking back to the Chikara Dojo,,,,,,,,,,,
,Daredevil,,,,3.06,The Devil You Know,,,,0:08:41,,0:10:06,,Workers arriving at Fisk's suite and setting up furniture up to Fisk overlooking his newly decorated living room,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""Suite for Solo Cello No. 1 in G Major, BMV 1007: III. Courante"" by Johann Sebastian Bach and performed by Mischa Maisky begins at 0:08:38.",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.05,Rewind,,,,0:09:57,,0:10:12,,"Fitz in Captivity Montage: A new issue of Ballblaster Hooligan being delivered to Fitz up to Fitz reading the ""Letter to the Editor"" and tossing it onto his desk",,,,,,,,,,,
,Daredevil,,,,3.06,The Devil You Know,,,,0:10:07,,0:10:48,,"Karen, and others, entering a conference room at the New York Bulletin up to Karen searching for ""Jasper Evans"" on her laptop",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Karen's dialogue comes in early at 0:10:48.,,,,,,,,,,,
,Iron Fist,,,,2.10,A Duel of Iron,,,,0:27:59,,0:29:02,,Danny looking at the destruction of the Chikara Dojo up to Danny looking at a medallion,,,,,,,,,,,
,Daredevil,,,,3.06,The Devil You Know,,,,0:10:49,,0:18:19,,Karen meeting with Foggy in her car up to Dex looking at the front page of the New York Bulletin,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Karen's dialogue begins at 0:10:48.,,,,,,,,,,,
,Iron Fist,,,,2.10,A Duel of Iron,,,,0:29:03,,0:31:29,,Colleen ascending the stairs of the Bayard Community Center up to Colleen leaving,,,,,,,,,,,
,Daredevil,,,,3.06,The Devil You Know,,,,0:18:20,,0:22:17,,Karen sitting in a pew at Clinton Church up to Maggie leaving,,,,,,,,,,,
,Iron Fist,,,,2.10,A Duel of Iron,,,,0:31:30,,0:37:17,,Ward arriving outside an NA meeting and speaking with Bethany up to Bethany walking away,,,,,,,,,,,
,Daredevil,,,,3.06,The Devil You Know,,,,0:22:18,,0:33:54,,Dex in a meeting regarding his investigation up to Maggie leaving Matt,,,,,,,,,,,
,Iron Fist,,,,2.10,A Duel of Iron,,,,0:37:18,,0:41:15,,Walker opening the elevator doors up to Walker leaving Joy's apartment,,,,,,,,,,,
,Daredevil,,,,3.06,The Devil You Know,,,,0:33:55,,0:38:40,,"Nadeem entering Hattley's office up to Manning knocking on Dex's door and telling him ""A car is waiting, sir, if you care to come with me.""",,,,,,,,,,,
,Iron Fist,,,,2.10,A Duel of Iron,,,,0:41:16,,0:46:20,,"Colleen arriving at the Chikara Dojo up to Danny saying to Ward ""That's why I'm telling you, you're coming with me."" and Ward looking at him",,,,,,,,,,,
,Daredevil,,,,3.06,The Devil You Know,,,,0:38:41,,0:52:08,,Foggy arriving and sitting across from Matt up to the end of the episode,,,,,,,,,,,
,Daredevil,,,,3.07,Aftermath,,,,0:00:14,,0:05:26,,Up to Fisk watching the various news broadcasts reporting on the attack at the New York Bulletin and smiling,,,,,,,,,,,
,Daredevil,,,,3.08,Upstairs/Downstairs,,,,0:00:16,,0:01:19,,Up to Dex vacuuming his apartment,,,,,,,,,,,
,Daredevil,,,,3.07,Aftermath,,,,0:06:33,,0:10:14,,"Matt saying to Maggie ""No, you're missing the point! ..."" up to Matt saying ""It was perfect.""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Audio from the recording shown in the next scene begins at 0:10:14.,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:32:07,,0:41:18,,"NOTE 1: The following clips show the Massacre at the Rougarou Club and its aftermath from the various perspectives involved: Tandy & Tyrone (2.01 & 2.02), Mayhem (2.03) and Brigid (2.02). Because of the intercutting between perspectives some moments have been extended.",,,,,,,,,,,
,,,,,,,,,,,,,,"Tyrone practicing basketball up to Tyrone saying ""Yeah. Maybe."" and Tandy looking down",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: The sound of Tyrone practicing basketball begins at at 0:32:04.,,,,,,,,,,,
,Cloak & Dagger,,,,2.03,Shadow Selves,,,,0:32:02,,0:32:11,,NOTE 1: The following clips are part of a montage of Mayhem constructing her new evidence wall and Mayhem killing gang members at a meeting (Massacre at the Rougarou Club).,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE 2: ""Last Ones Left"" by Stylo Beddoe begins at 0:31:51 plays overtop of the montage.",,,,,,,,,,,
,,,,,,,,,,,,,,"Flashback: ""48 Hours Ago"", montage of Mayhem killing the gang leaders up to Mayhem kicking one of them into the kitchen window",,,,,,,,,,,
,Cloak & Dagger,,,,2.03,Shadow Selves,,,,0:32:13,,0:32:13,,,,,,,,,,,,,
,Cloak & Dagger,,,,2.03,Shadow Selves,,,,0:32:15,,0:32:17,,,,,,,,,,,,,
,Cloak & Dagger,,,,2.03,Shadow Selves,,,,0:32:19,,0:32:23,,,,,,,,,,,,,
,Cloak & Dagger,,,,2.03,Shadow Selves,,,,0:32:26,,0:32:26,,,,,,,,,,,,,
,Cloak & Dagger,,,,2.03,Shadow Selves,,,,0:32:28,,0:32:28,,,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:41:18,,0:41:27,,"Tyrone looking at Tandy, looking over at the kitchen window and seeing the gang leader crack his head on it up to Tandy and Tyrone beginning to run towards the kitchen, lyrics: ""I'm waiting to the thought that we came""",,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""Flutes (Sasha Remix)"" by Hot Chip & Sasha transitions into non-diegetic music when Tandy and Tyrone beginning running towards the kitchen. It plays overtop of the rest of the episode.",,,,,,,,,,,
,Cloak & Dagger,,,,2.03,Shadow Selves,,,,0:32:31,,0:32:39,,"Flashback: Mayhem turning around and walking towards Brett Latour, ending the montage",,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""Last Ones Left"" by Stylo Beddoe plays overtop.",,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:41:28,,0:41:37,,Tandy and Tyrone continuing to run towards the kitchen up to Tandy beginning to push open the door,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""Flutes (Sasha Remix)"" by Hot Chip & Sasha plays overtop.",,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:01:05,,0:02:06,,Up to Tandy and Tyrone arriving in the kitchen and Tyrone removing his hood,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""A Hymn To St. Brigid"" by Joanna Hall-McGill plays overtop.",,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:41:44,,0:41:51,,Tandy looking around up to the end of the episode,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""Flutes (Sasha Remix)"" by Hot Chip & Sasha plays overtop.",,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:20:45,,0:21:28,,NOTE: This episode is structured non-chronologically and shows repeated scenes from different points of view.,,,,,,,,,,,
,,,,,,,,,,,,,,Brigid sitting in a bar up to Brigid answering her phone,,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:02:12,,0:04:26,,Brett Latour lying dead beside the veve he made up to Tandy leaving and Tyrone pausing to look at the destruction,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""Raised by Wolves"" by Geoffroy begins at 0:03:45.",,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:22:02,,0:22:08,,Brigid closing the door behind Tyrone and leaning against it,,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:04:28,,0:05:02,,"Tyrone walking away from the door up to Tyrone saying ""People don't choose to struggle, Tandy. They don't choose the hurt.""",,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""Raised by Wolves"" by Geoffroy continues to play.",,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:14:03,,0:14:15,,"Tyrone saying ""Doing nothing is not a solution."" up to Tandy saying ""... And maybe people don't want to be saved. By us, or at all.""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Mikayla's dialogue comes in early at 0:14:15.,,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:22:09,,0:22:31,,Brigid calling 911 up to Brigid leaving,,,,,,,,,,,
,Daredevil,,,,3.07,Aftermath,,,,0:10:15,,0:23:43,,"Karen watching footage from Dex's attack on the New York Bulletin with Foggy and Nadeem up to Foggy picking up some documents, reading them and saying ""What the hell?""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Audio from the recording begins at 0:10:14.,,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:14:16,,0:15:37,,Tandy attending another group counseling session with Melissa up to Mikayla leaving,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 1: Mikayla's dialogue begins at 0:14:15.,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE 2: ""I Know Your Secrets"" by Katie Garfield begins at 0:15:20.",,,,,,,,,,,
,Jessica Jones,,,,3.02,A.K.A. You're Welcome,,,,0:12:51,,0:14:41,,Flashback: Trish exiting her car across the street from Halloween Adventure up to Trish pulling her scarf up and checking her reflection in her car window and then taking off her new disguise,,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:05:08,,0:11:41,,Chantelle sprinkling flour onto the counter up to Evita walking away from Tyrone,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE 1: ""Raised by Wolves"" by Geoffroy continues to play. It finishes at 0:05:30.",,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE 2: ""Numb (feat. Dan Henig)"" by Aubrey Joseph begins at 0:11:30.",,,,,,,,,,,
,Daredevil,,,,3.07,Aftermath,,,,0:23:44,,0:31:19,,"Karen arriving outside Ellison's hospital room up to Melvin calling out ""Betsy! They'll hurt Betsy!"" and Matt walking down the tunnel",,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:22:33,,0:22:55,,NOTE 1: The following clips intercut between Brigid's (2.02) and Mayhem's (2.03) perspectives. Because of the intercutting some moments have been extended.,,,,,,,,,,,
,,,,,,,,,,,,,,"Brigid sitting in a bar, her hands shaking up to Brigid leaving",,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE 2: ""Black Heart"" by BOGA plays overtop.",,,,,,,,,,,
,Cloak & Dagger,,,,2.03,Shadow Selves,,,,0:35:33,,0:35:39,,"Flashback: ""36 Hours Ago"" up to Brigid about to vomit",,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:22:56,,0:23:02,,Brigid vomiting up to Brigid walking down the sidewalk and putting her hand to her mouth,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""Black Heart"" by BOGA plays overtop.",,,,,,,,,,,
,Cloak & Dagger,,,,2.03,Shadow Selves,,,,0:35:41,,0:35:47,,Flashback: Mayhem looking down at her phone,,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:23:03,,0:23:32,,"Brigid kneeling down to vomit up to Mayhem saying ""Well you've had your chance. It's my turn now.""",,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""Black Heart"" by BOGA plays overtop.",,,,,,,,,,,
,Cloak & Dagger,,,,2.03,Shadow Selves,,,,0:35:59,,0:36:00,,Flashback: Mayhem pushing Brigid into a puddle with her foot,,,,,,,,,,,
,Daredevil,,,,3.07,Aftermath,,,,0:31:20,,0:47:43,,Nadeem entering the surveillance suit up to the end of the episode,,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:15:38,,0:17:20,,Tandy practicing ballet up to Tandy collapsing and looking at her reflection in the mirror,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""I Know Your Secrets"" by Katie Garfield begins at 0:15:20.",,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:23:33,,0:25:05,,Mayhem approaching the Rougarou Club crime scene up to Mayhem standing up and walking away,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: The sound of doorbell ringing comes in early at 0:25:04.,,,,,,,,,,,
,Daredevil,,,,3.08,Upstairs/Downstairs,,,,0:02:28,,0:04:45,,"Nadeem exiting an elevator up to Dex saying to Julie ""I'll never bother you again.""",,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:11:42,,0:13:15,,Tyrone drawing a veve with chalk up to Tyrone teleporting back to the church and dropping to his knees,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""Numb (feat. Dan Henig)"" by Aubrey Joseph plays overtop.",,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:17:21,,0:20:41,,Lia Dewan placing handouts on chairs up to Tandy seeing a vision of her father and running away from Andre Deschaine,,,,,,,,,,,
,Daredevil,,,,3.08,Upstairs/Downstairs,,,,0:04:46,,0:06:28,,"Nadeem waiting in an alley and meeting with Matt disguised as Daredevil up to Nadeem saying ""Special Agent Ben Poindexter.""",,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:25:06,,0:26:36,,"Mayhem standing outside Brett Latour's house up to Stephanie Latour saying ""No. Nothing stolen. It was ambulances. Private ambulances.""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: The sound of the doorbell ringing occurs at 0:25:04.,,,,,,,,,,,
,Daredevil,,,,3.08,Upstairs/Downstairs,,,,0:06:29,,0:09:25,,Dex tossing money on the counter at a cafe up to the red security camera light blinking,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Foggy's knocking comes in early at 0:09:23.,,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:27:10,,0:29:12,,"A woman singing ""A Hymn to St. Brigid"" up to Tandy running away from Deschaine",,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:35:23,,0:39:46,,Tyrone drawing another veve up to Tyrone and Evita kissing and Tyrone teleporting away,,,,,,,,,,,
,Daredevil,,,,3.08,Upstairs/Downstairs,,,,0:09:26,,0:13:14,,Foggy knocking on Karen's door up to Foggy leaving,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Foggy's knocking occurs at 0:09:23.,,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:29:13,,0:32:00,,Tandy running into the hospital up to Tandy leaving,,,,,,,,,,,
,Daredevil,,,,3.08,Upstairs/Downstairs,,,,0:13:15,,0:39:55,,Fisk watching security feeds and the assassination of Julie Barnes up to the elevator doors closing,,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:32:01,,0:32:24,,Neon pirate liquor sign up to Tandy seeing an ambulance in the yard,,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:26:37,,0:26:55,,Mayhem pulling up and getting out of her car up to Mayhem seeing Tandy on the other side of the gate,,,,,,,,,,,
,Cloak & Dagger,,,,2.02,White Lines,,,,0:32:30,,0:35:00,,"Mayhem lowering her gun up to Tandy saying ""Yeah. Okay, you got it.""",,,,,,,,,,,
